product_title,product_id,threepk
Prism Perfect - 5 Items,2339797532730,f
Prism Perfect - 3 Items  Auto renew,2342557843514,t
Prism Perfect - 5 Items  Auto renew,2342559973434,f
Basic Training - 3 Items,2340063969338,t
Basic Training - 5 Items,2340064526394,f
Basic Training - 3 Items  Auto renew,2343841202234,t
Basic Training - 5 Items  Auto renew,2343841464378,f
Rule Breaker - 3 Items,2340061052986,t
Rule Breaker - 3 Items  Auto renew,2343847591994,t
Rule Breaker - 5 Items,2340061577274,f
Rule Breaker - 5 Items  Auto renew,2343847854138,f
Desert Bloom - 3 Items,2372780752954,t
Desert Bloom - 5 Items,2372780916794,f
Desert Bloom - 3 Items  Auto renew,2391649550394,t
Desert Bloom - 5 Items  Auto renew,2391650009146,f
Victory Lap - 3 Items,2372782751802,t
Victory Lap - 5 Items,2372783145018,f
Victory Lap - 3 Items  Auto renew,2391651647546,t
Victory Lap - 5 Items  Auto renew,2391652270138,f
Rise Up - 3 Items,2372785340474,t
Rise Up - 5 Items,2372785438778,f
Rise Up - 3 Items  Auto renew,2391653515322,t
Rise Up - 5 Items  Auto renew,2391654006842,f
Rose Quartz - 3 Items,2372786290746,t
Rose Quartz - 5 Items,2372787535930,f
Rose Quartz - 3 Items  Auto renew,2391655120954,t
Rose Quartz - 5 Items  Auto renew,2391655841850,f
